frequency_hz,frequency_mhz,depth_m,depth_mm,path_loss_db,snr_db,tissue_model
100000000.0,100.0,0.005,5.0,-23.75020302169862,132.45194925585332,skin+fat+muscle+bone
159183673.46938777,159.18367346938777,0.005,5.0,-19.676633933002602,128.3338270812314,skin+fat+muscle+bone
218367346.9387755,218.3673469387755,0.005,5.0,-16.911293644088282,125.53536084752584,skin+fat+muscle+bone
277551020.40816325,277.55102040816325,0.005,5.0,-14.816268018500558,123.41126504118073,skin+fat+muscle+bone
336734693.877551,336.734693877551,0.005,5.0,-13.129473889799131,121.69678009270636,skin+fat+muscle+bone
395918367.3469388,395.9183673469388,0.005,5.0,-11.717515690454674,120.2573682041455,skin+fat+muscle+bone
455102040.8163265,455.1020408163265,0.005,5.0,-10.499452753839462,119.0172870522919,skin+fat+muscle+bone
514285714.28571427,514.2857142857142,0.005,5.0,-9.423754793978873,117.92983429201352,skin+fat+muscle+bone
573469387.755102,573.469387755102,0.005,5.0,-8.464056989842504,116.95921618580994,skin+fat+muscle+bone
632653061.2244898,632.6530612244898,0.005,5.0,-7.5974605408252085,116.08231001270767,skin+fat+muscle+bone
691836734.6938776,691.8367346938776,0.005,5.0,-6.807233317785235,115.28224112201313,skin+fat+muscle+bone
751020408.1632653,751.0204081632653,0.005,5.0,-6.080776439414209,114.54631725464975,skin+fat+muscle+bone
810204081.632653,810.204081632653,0.005,5.0,-5.408365436687234,113.86475139785189,skin+fat+muscle+bone
869387755.1020408,869.3877551020407,0.005,5.0,-4.782336890457977,113.22983761306021,skin+fat+muscle+bone
928571428.5714285,928.5714285714286,0.005,5.0,-4.196552042269934,112.63228765481233,skin+fat+muscle+bone
987755102.0408163,987.7551020408163,0.005,5.0,-3.6461153679459977,112.05967998813307,skin+fat+muscle+bone
1046938775.5102041,1046.938775510204,0.005,5.0,-3.126928369611097,111.51830927347989,skin+fat+muscle+bone
1106122448.9795918,1106.1224489795918,0.005,5.0,-2.6355460682754277,111.00472766277886,skin+fat+muscle+bone
1165306122.4489796,1165.3061224489795,0.005,5.0,-2.169063007550464,110.51602745136849,skin+fat+muscle+bone
1224489795.9183674,1224.4897959183675,0.005,5.0,-1.72500614919264,110.04973381277674,skin+fat+muscle+bone
1283673469.3877552,1283.6734693877552,0.005,5.0,-1.3012530948706165,109.60372290721631,skin+fat+muscle+bone
1342857142.857143,1342.857142857143,0.005,5.0,-0.8959687710013307,109.17615848506706,skin+fat+muscle+bone
1402040816.3265307,1402.0408163265306,0.005,5.0,-0.5075557898656609,108.76544218854737,skin+fat+muscle+bone
1461224489.7959185,1461.2244897959185,0.005,5.0,-0.13461508831671665,108.37017414630586,skin+fat+muscle+bone
1520408163.265306,1520.408163265306,0.005,5.0,0.22408560829272567,107.98912140414302,skin+fat+muscle+bone
1579591836.7346938,1579.5918367346937,0.005,5.0,0.5696372926654669,107.6211923931394,skin+fat+muscle+bone
1638775510.2040815,1638.7755102040815,0.005,5.0,0.903010485202121,107.26541610048416,skin+fat+muscle+bone
1697959183.6734693,1697.9591836734694,0.005,5.0,1.2250723478921084,106.9209249403563,skin+fat+muscle+bone
1757142857.142857,1757.142857142857,0.005,5.0,1.536600863161524,106.58694056308516,skin+fat+muscle+bone
1816326530.6122448,1816.3265306122448,0.005,5.0,1.8382966617503205,106.26276201774365,skin+fat+muscle+bone
1875510204.0816326,1875.5102040816325,0.005,5.0,2.1307929524288505,105.94775581479452,skin+fat+muscle+bone
1934693877.5510204,1934.6938775510205,0.005,5.0,2.41466390776933,105.64134753415055,skin+fat+muscle+bone
1993877551.0204082,1993.8775510204082,0.005,5.0,2.690431785389869,105.34301469891221,skin+fat+muscle+bone
2053061224.489796,2053.061224489796,0.005,5.0,2.9585730068151004,105.05228069239689,skin+fat+muscle+bone
2112244897.9591837,2112.2448979591836,0.005,5.0,3.2195233718594856,104.7687095403681,skin+fat+muscle+bone
2171428571.4285717,2171.4285714285716,0.005,5.0,3.4736825519922108,104.4919014148624,skin+fat+muscle+bone
2230612244.897959,2230.612244897959,0.005,5.0,3.721417979113232,104.22148874307258,skin+fat+muscle+bone
2289795918.367347,2289.795918367347,0.005,5.0,3.9630682248088323,103.9571328261314,skin+fat+muscle+bone
2348979591.836735,2348.979591836735,0.005,5.0,4.1989459481586495,103.69852088965402,skin+fat+muscle+bone
2408163265.3061223,2408.1632653061224,0.005,5.0,4.429941366370636,103.44301407894443,skin+fat+muscle+bone
2467346938.7755103,2467.3469387755104,0.005,5.0,4.659467590176773,103.17793543917624,skin+fat+muscle+bone
2526530612.244898,2526.530612244898,0.005,5.0,4.884011025272582,102.91766269766549,skin+fat+muscle+bone
2585714285.714286,2585.714285714286,0.005,5.0,5.103803836223698,102.66196283516801,skin+fat+muscle+bone
2644897959.1836734,2644.8979591836733,0.005,5.0,5.319062419063984,102.4106185371311,skin+fat+muscle+bone
2704081632.6530614,2704.081632653061,0.005,5.0,5.529988798515157,102.16342680156306,skin+fat+muscle+bone
2763265306.122449,2763.265306122449,0.005,5.0,5.736771873814074,101.92019769760884,skin+fat+muscle+bone
2822448979.591837,2822.448979591837,0.005,5.0,5.93958853241455,101.6807532556639,skin+fat+muscle+bone
2881632653.0612245,2881.6326530612246,0.005,5.0,6.13860464802933,101.44492647264366,skin+fat+muscle+bone
2940816326.530612,2940.816326530612,0.005,5.0,6.333975977132738,101.21256041835784,skin+fat+muscle+bone
3000000000.0,3000.0,0.005,5.0,6.525848966073415,100.98350743089942,skin+fat+muscle+bone
100000000.0,100.0,0.01,10.0,-21.10670536652062,129.3747321825376,skin+fat+muscle+bone
159183673.46938777,159.18367346938777,0.01,10.0,-17.019220288517356,125.17645828653309,skin+fat+muscle+bone
218367346.9387755,218.3673469387755,0.01,10.0,-14.247306237464052,122.3253093190166,skin+fat+muscle+bone
277551020.40816325,277.55102040816325,0.01,10.0,-12.14872839777846,120.16022032002653,skin+fat+muscle+bone
336734693.877551,336.734693877551,0.01,10.0,-10.45979678197173,118.41015113995158,skin+fat+muscle+bone
395918367.3469388,395.9183673469388,0.01,10.0,-9.046434741363623,116.93768307715624,skin+fat+muscle+bone
455102040.8163265,455.1020408163265,0.01,10.0,-7.8258662587474905,115.66758343580774,skin+fat+muscle+bone
514285714.28571427,514.2857142857142,0.01,10.0,-6.745318485276476,114.55459146991866,skin+fat+muscle+bone
573469387.755102,573.469387755102,0.01,10.0,-5.78087530595454,113.55947083998218,skin+fat+muscle+bone
632653061.2244898,632.6530612244898,0.01,10.0,-4.909602392139274,112.6587659723615,skin+fat+muscle+bone
691836734.6938776,691.8367346938776,0.01,10.0,-4.114745518368624,111.83538827834863,skin+fat+muscle+bone
751020408.1632653,751.0204081632653,0.01,10.0,-3.3836914567320253,111.07650295303058,skin+fat+muscle+bone
810204081.632653,810.204081632653,0.01,10.0,-2.7067060793630238,110.37222500122681,skin+fat+muscle+bone
869387755.1020408,869.3877551020407,0.01,10.0,-2.076119259860355,109.71477927843553,skin+fat+muscle+bone
928571428.5714285,928.5714285714286,0.01,10.0,-1.4855103634857567,109.09171531302763,skin+fat+muscle+bone
987755102.0408163,987.7551020408163,0.01,10.0,-0.929325726303995,108.48317927941513,skin+fat+muscle+bone
1046938775.5102041,1046.938775510204,0.01,10.0,-0.4043957152807057,107.90587791945683,skin+fat+muscle+bone
1106122448.9795918,1106.1224489795918,0.01,10.0,0.09272611306195333,107.3563531265862,skin+fat+muscle+bone
1165306122.4489796,1165.3061224489795,0.01,10.0,0.5649463479477993,106.83168913791465,skin+fat+muscle+bone
1224489795.9183674,1224.4897959183675,0.01,10.0,1.0147389165774707,106.32940470348707,skin+fat+muscle+bone
1283673469.3877552,1283.6734693877552,0.01,10.0,1.444226923946617,105.84737079359871,skin+fat+muscle+bone
1342857142.857143,1342.857142857143,0.01,10.0,1.8552460120180874,105.38374691267397,skin+fat+muscle+bone
1402040816.3265307,1402.0408163265306,0.01,10.0,2.2493940305784927,104.93693118854648,skin+fat+muscle+bone
1461224489.7959185,1461.2244897959185,0.01,10.0,2.6280704221095794,104.50552080902956,skin+fat+muscle+bone
1520408163.265306,1520.408163265306,0.01,10.0,2.9925077754908442,104.08828033351261,skin+fat+muscle+bone
1579591836.7346938,1579.5918367346937,0.01,10.0,3.3437973459028703,103.68411607019738,skin+fat+muscle+bone
1638775510.2040815,1638.7755102040815,0.01,10.0,3.6829098746929994,103.29205517680268,skin+fat+muscle+bone
1697959183.6734693,1697.9591836734694,0.01,10.0,4.0107127111802265,102.9112284767878,skin+fat+muscle+bone
1757142857.142857,1757.142857142857,0.01,10.0,4.327983997689784,102.54085622550414,skin+fat+muscle+bone
1816326530.6122448,1816.3265306122448,0.01,10.0,4.635424502311129,102.18023623864627,skin+fat+muscle+bone
1875510204.0816326,1875.5102040816325,0.01,10.0,4.933667552497869,101.82873392757199,skin+fat+muscle+bone
1934693877.5510204,1934.6938775510205,0.01,10.0,5.2232874239535345,101.48577388532314,skin+fat+muscle+bone
1993877551.0204082,1993.8775510204082,0.01,10.0,5.504806464391766,101.15083274246061,skin+fat+muscle+bone
2053061224.489796,2053.061224489796,0.01,10.0,5.778701174443864,100.82343306945268,skin+fat+muscle+bone
2112244897.9591837,2112.2448979591836,0.01,10.0,6.045407423718218,100.50313814685568,skin+fat+muscle+bone
2171428571.4285717,2171.4285714285716,0.01,10.0,6.3053249455460945,100.1895474591661,skin+fat+muscle+bone
2230612244.897959,2230.612244897959,0.01,10.0,6.558821226901887,99.88229279539993,skin+fat+muscle+bone
2289795918.367347,2289.795918367347,0.01,10.0,6.806234888611949,99.58103486092638,skin+fat+muscle+bone
2348979591.836735,2348.979591836735,0.01,10.0,7.047878633959916,99.2854603221646,skin+fat+muscle+bone
2408163265.3061223,2408.1632653061224,0.01,10.0,7.286270404761442,98.99058037427208,skin+fat+muscle+bone
2467346938.7755103,2467.3469387755104,0.01,10.0,7.533370901598436,98.67130896582863,skin+fat+muscle+bone
2526530612.244898,2526.530612244898,0.01,10.0,7.77549529296483,98.35665035927369,skin+fat+muscle+bone
2585714285.714286,2585.714285714286,0.01,10.0,8.012875891204086,98.04637003826556,skin+fat+muscle+bone
2644897959.1836734,2644.8979591836733,0.01,10.0,8.245729232969488,97.7402491752144,skin+fat+muscle+bone
2704081632.6530614,2704.081632653061,0.01,10.0,8.474257476672358,97.43808323884338,skin+fat+muscle+bone
2763265306.122449,2763.265306122449,0.01,10.0,8.698649648580313,97.13968075246093,skin+fat+muscle+bone
2822448979.591837,2822.448979591837,0.01,10.0,8.919082756815762,96.84486218377475,skin+fat+muscle+bone
2881632653.0612245,2881.6326530612246,0.01,10.0,9.135722789707941,96.55345894986374,skin+fat+muscle+bone
2940816326.530612,2940.816326530612,0.01,10.0,9.348725612610174,96.2653125232562,skin+fat+muscle+bone
3000000000.0,3000.0,0.01,10.0,9.558237775325237,95.98027362702308,skin+fat+muscle+bone
100000000.0,100.0,0.015,15.0,-18.720178590651116,126.85808958122679,skin+fat+muscle+bone
159183673.46938777,159.18367346938777,0.015,15.0,-14.572412510887855,122.57966396383969,skin+fat+muscle+bone
218367346.9387755,218.3673469387755,0.015,15.0,-11.761648417525189,119.67583226251223,skin+fat+muscle+bone
277551020.40816325,277.55102040816325,0.015,15.0,-9.633309678758765,117.46975007087721,skin+fat+muscle+bone
336734693.877551,336.734693877551,0.015,15.0,-7.918827854700034,115.68409665920166,skin+fat+muscle+bone
395918367.3469388,395.9183673469388,0.015,15.0,-6.481905339748698,114.17857242217185,skin+fat+muscle+bone
455102040.8163265,455.1020408163265,0.015,15.0,-5.239572250685864,112.87845429132847,skin+fat+muscle+bone
514285714.28571427,514.2857142857142,0.015,15.0,-4.1396920892042255,111.73992311982867,skin+fat+muscle+bone
